Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783508351,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783508352,10,,Aggregated,0.000000,0.000000,48,56,140,150,280,280,280,290,290,290,290,64,0,48,93.64773621778113,13.838136990671046,290,696.0625
1783508353,20,,Aggregated,0.000000,0.000000,51,75,120,140,280,280,310,320,320,320,320,139,0,51,91.95597537362315,2.6010529982158914,321,690.5395683453237
1783508354,30,,Aggregated,31.000000,0.000000,54,80,110,140,260,280,320,410,650,650,650,243,0,54,94.1736389420047,2.6010529982158914,651,719.7201646090535
1783508355,40,,Aggregated,52.000000,0.000000,51,85,120,140,260,290,400,590,670,670,670,386,0,51,98.59873932122326,1.868424005806446,670,718.3445595854922
1783508356,50,,Aggregated,64.333333,0.000000,57,110,140,190,280,410,560,600,720,720,720,512,0,56,119.25203566415348,1.7113860085373744,716,706.978515625
1783508357,50,,Aggregated,82.500000,0.000000,57,110,140,190,300,440,590,670,870,870,870,593,28,57,121.45780405568561,1.7113860085373744,871,680.2967959527824
1783508358,50,,Aggregated,89.800000,0.000000,57,110,140,190,290,410,590,650,870,870,870,630,55,57,119.1557352143713,1.7113860085373744,871,645.9984126984127
1783508359,50,,Aggregated,94.500000,1.166667,57,110,150,200,300,410,590,650,870,870,870,667,83,57,119.56012354429352,1.7113860085373744,871,615.1319340329835
1783508360,50,,Aggregated,86.142857,5.428571,58,110,150,200,290,400,590,620,870,870,870,701,114,58,118.88273887173106,1.7113860085373744,871,587.7689015691868
1783508361,50,,Aggregated,80.000000,7.625000,59,120,150,200,300,390,590,620,870,870,870,742,146,58,118.72485819008347,1.7113860085373744,871,559.9137466307278
1783508362,50,,Aggregated,74.888889,9.888889,58,120,150,200,290,370,560,620,870,870,870,777,171,58,118.48689331534736,1.7113860085373744,871,539.2033462033462
1783508363,50,,Aggregated,71.300000,12.500000,58,120,150,200,280,360,550,620,870,870,870,812,197,57,115.59978973895157,1.7113860085373744,871,519.9716748768473
1783508364,50,,Aggregated,71.600000,15.100000,56,110,140,200,280,340,510,620,870,870,870,853,226,56,112.43150709860083,1.6966539988061413,871,499.8757327080891
1783508365,50,,Aggregated,68.000000,17.800000,55,110,140,190,280,340,510,620,870,870,870,890,256,54,110.52097631250051,1.500983998994343,871,482.2584269662921
1783508366,50,,Aggregated,62.900000,20.500000,57,110,140,200,280,340,510,610,870,870,870,929,288,57,111.28295735637076,1.500983998994343,871,465.1065662002153
