Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/.well-known/jwks.json,571,0,3,8.728235313325717,0.9027889900607988,136.95220499357674,169.0,4.786564025778156,0.0,3,5,8,11,25,35,53,95,140,140,140
GET,/core/event/CC2026/stats,1426,0,23,73.17977569859792,5.2590240084100515,748.723525000969,279.0,11.95383590325683,0.0,23,57,99,120,220,290,440,500,700,750,750
GET,/identity/[id]/status,4349,0,5,16.097900270161617,1.187236004625447,202.3641310079256,281.31455507013106,36.45668467269562,0.0,5,10,17,25,45,67,110,140,190,200,200
GET,/notary/blocks,4418,0,6,19.664089268898017,1.566448001540266,245.5494820023887,5804.0,37.03509608736934,0.0,6,13,21,32,54,87,140,160,210,250,250
GET,/notary/chain/status,3025,0,17,47.50813762841107,4.858893997152336,445.67707799433265,637.0,25.35789173026081,0.0,17,41,59,73,130,190,260,330,440,450,450
GET,/passport/[id],2128,0,7,23.931299279989016,2.01567099429667,247.52723499841522,1502.046052631579,17.83854333950248,0.0,7,17,30,39,68,100,150,190,220,250,250
GET,/passport/key,2463,0,3,9.115774346757961,0.9207669936586171,150.43969100224786,255.0,20.64677267161401,0.0,3,5,8,11,25,40,64,94,140,150,150
GET,/pulse,6045,0,23,69.52593613723509,4.230687001836486,702.897690993268,236.0,50.67386958989309,0.0,23,56,91,110,210,280,380,450,690,700,700
GET,/spec,903,0,2,8.142659058805982,0.882773005287163,138.61419100430794,189.0,7.569645035512566,0.0,2,5,7,9,19,41,60,86,140,140,140
GET,[bootstrap] blocks,500,0,65,72.95427037178888,14.203154991264455,155.42293099861126,11602.0,4.1913870628530265,0.0,65,74,100,110,110,120,150,150,160,160,160
,Aggregated,25828,0,9,36.68221352216359,0.882773005287163,748.723525000969,1568.433212017965,216.51029011873592,0.0,9,21,39,52,100,160,260,340,610,700,750
