participant_id,role,parcours,duree_secondes,nb_questions,nb_hesitations,nb_rescans,nb_false_positive,nb_false_negative,succes,note_globale_1_5,mot_experience,verbatim,commentaire_organisateur
porteur1,porteur,creation_frek,,,,,,,,,,,
porteur2,porteur,creation_frek,,,,,,,,,,,
operateur1,operateur,scan_entree,,,,,,,,,,,
operateur1,operateur,scan_entree,,,,,,,,,,,
operateur1,operateur,scan_entree,,,,,,,,,,,
operateur1,operateur,scan_entree,,,,,,,,,,,
operateur2,operateur,scan_scene,,,,,,,,,,,
operateur2,operateur,scan_scene,,,,,,,,,,,
operateur2,operateur,scan_scene,,,,,,,,,,,
operateur2,operateur,scan_scene,,,,,,,,,,,
organisateur,organisateur,verify_offline,,,,,,,,,,,
organisateur,organisateur,verify_offline,,,,,,,,,,,
porteur1,porteur,debriefing,,,,,,,,,,,
porteur2,porteur,debriefing,,,,,,,,,,,
operateur1,operateur,debriefing,,,,,,,,,,,
operateur2,operateur,debriefing,,,,,,,,,,,
organisateur,organisateur,debriefing,,,,,,,,,,,
